数据名称,类型,coverage_steps,coverage_time,search_probability,search_time,search_steps
branch2_height2,Tree,1,0.005908846855163574,0.3366685616827743,0.013209342956542969,4.57
branch2_height3,Tree,1,0.0017848253250122071,0.1353833013025838,0.015706777572631836,4.87
branch2_height4,Tree,1,0.0024069786071777345,0.036178107606679034,0.013009309768676758,7
branch2_height5,Tree,1,0.002636098861694336,0.059247235467180685,0.018619775772094727,9.97
branch3_height2,Tree,1,0.0018052101135253907,0.11696196258208401,0.010750055313110352,6.23
branch3_height3,Tree,1,0.0024927616119384765,0.06552337809415952,0.018772363662719727,7.95
branch3_height4,Tree,1,0.015855026245117188,0.0066950053134962806,0.07877302169799805,17.28
branch3_height5,Tree,1,0.08708999156951905,0.02188647274781135,0.46076035499572754,23.98
branch4_height2,Tree,1,0.0018832683563232422,0.05702023298589822,0.011983871459960938,5.76
branch4_height3,Tree,1,0.01661355495452881,0.021542118555935224,0.10951876640319824,15.93
branch4_height4,Tree,1,0.10651597976684571,0.0018267620642411326,0.44110679626464844,29.01
branch5_height2,Tree,1,0.002040576934814453,0.03070898598516076,0.013280153274536133,7.87
branch5_height3,Tree,1,0.03230924606323242,0.006135959954787664,0.20495939254760742,17.66
branch5_height4,Tree,1,0.3128281354904175,0.00013236267372600927,1.9763426780700684,43.9
size3_density0.0,Grid,1,0.0021639585494995115,0.2600777934936351,0.01580500602722168,3.77
size3_density0.2,Grid,1,0.0025166034698486327,0.4683048433048433,0.013608217239379883,5.65
size3_density0.4,Grid,1,0.001992011070251465,0.32185358817165527,0.011997222900390625,4.71
size4_density0.0,Grid,1,0.0015981197357177734,0.1236,0.012695550918579102,5.65
size4_density0.2,Grid,1,0.0016121387481689454,0.1642,0.00851297378540039,7.54
size4_density0.4,Grid,1,0.0020398378372192385,0.0748,0.01080179214477539,5.03
size5_density0.0,Grid,1,0.0019378185272216797,0.062148337595907925,0.013167858123779297,7.07
size5_density0.2,Grid,1,0.0021142959594726562,0.11890007745933386,0.016948699951171875,9.42
size5_density0.4,Grid,1,0.0018768310546875,0.2976390143207328,0.011215448379516602,6.28
size6_density0.0,Grid,1,0.0024615049362182615,0.052155401809473124,0.017611026763916016,10.37
size6_density0.2,Grid,1,0.0025949954986572267,0.06081912462647214,0.01622319221496582,9.42
size6_density0.4,Grid,1,0.0025374650955200194,0.19622170736054179,0.01575636863708496,9.42
size7_density0.0,Grid,1,0.002687239646911621,0.05154369440083726,0.0161893367767334,12.1
size7_density0.2,Grid,1,0.002538323402404785,0.009783459431254892,0.01776885986328125,13.19
size7_density0.4,Grid,1,0.002644062042236328,0.023405654174884945,0.019080400466918945,12.1
size8_density0.0,Grid,2,0.004928040504455567,0.057,0.020333290100097656,15.08
size8_density0.2,Grid,1,0.005048775672912597,0.0967,0.024430274963378906,10.05
size8_density0.4,Grid,1,0.0027286052703857423,0.0383,0.020466327667236328,13.82
n10_p0.1,SmallWorld,1,0.0017112255096435546,0.3841935483870968,0.010767698287963867,5.96
n10_p0.3,SmallWorld,1,0.0015404462814331056,0.3911880409126672,0.012350320816040039,4.97
n10_p0.6,SmallWorld,1,0.0018199920654296876,0.49499602859412234,0.010672569274902344,4.97
n15_p0.1,SmallWorld,1,0.0018509149551391602,0.13242349930696237,0.014650821685791016,5.48
n15_p0.3,SmallWorld,1,0.0017472267150878905,0.33087606837606837,0.011083602905273438,7.3
n15_p0.6,SmallWorld,1,0.001868128776550293,0.21748855043135584,0.01119375228881836,7.3
n20_p0.1,SmallWorld,1,0.0019063472747802735,0.13954232677228356,0.01266932487487793,7.02
n20_p0.3,SmallWorld,1,0.0016759634017944336,0.1416302058013288,0.01183772087097168,7.73
n20_p0.6,SmallWorld,1,0.0020150184631347657,0.0673352435530086,0.011728525161743164,6.32
n25_p0.1,SmallWorld,1,0.0018994569778442382,0.23207234747165967,0.013181447982788086,6.28
n25_p0.3,SmallWorld,1,0.0020177602767944337,0.1585835257890685,0.01186990737915039,6.28
n25_p0.6,SmallWorld,1,0.0018373966217041016,0.10830232259720261,0.013712644577026367,8.64
n30_p0.1,SmallWorld,1,0.002038860321044922,0.08163700309069594,0.01209568977355957,7.74
n30_p0.3,SmallWorld,1,0.0017612218856811524,0.11622713738834539,0.01208639144897461,9.46
n30_p0.6,SmallWorld,1,0.0020105600357055663,0.13419589392643286,0.013858318328857422,10.32
n35_p0.1,SmallWorld,1,0.0025871753692626952,0.11658785012731902,0.016121387481689453,8.36
n35_p0.3,SmallWorld,1,0.0030643224716186525,0.24107142857142858,0.0193173885345459,7.43
n35_p0.6,SmallWorld,1,0.0027054548263549805,0.13745201974044965,0.016867399215698242,11.15
height3_glues2,GluedTree,2,0.004344630241394043,0.09590207557211283,0.01230001449584961,7.74
height3_glues4,GluedTree,1,0.0018459081649780274,0.2589314279620348,0.013728141784667969,9.46
height4_glues2,GluedTree,3,0.007772707939147949,0.04652120214079868,0.01682877540588379,12.37
height4_glues4,GluedTree,2,0.005225682258605957,0.11632947976878613,0.01735687255859375,14.84
height5_glues2,GluedTree,3,0.04876067638397217,0.031691213814118845,0.08120226860046387,17.63
height5_glues4,GluedTree,3,0.04507403373718262,0.046478587375685,0.07686424255371094,15.87
dim3_perturb0.0,Hypercube,1,0.0018190622329711914,0.5141,0.011923551559448242,5.33
dim3_perturb0.1,Hypercube,1,0.001715850830078125,0.5177,0.009885787963867188,5.33
dim4_perturb0.0,Hypercube,1,0.0016723155975341796,0.4123,0.014272212982177734,6.28
dim4_perturb0.1,Hypercube,1,0.0017570257186889648,0.4108,0.008247613906860352,5.65
dim5_perturb0.0,Hypercube,1,0.0020357608795166016,0.2763,0.011829614639282227,10.66
dim5_perturb0.1,Hypercube,1,0.001819443702697754,0.1758,0.010889768600463867,10.66
dim6_perturb0.0,Hypercube,1,0.0027362346649169923,0.1686,0.020832061767578125,15.08
dim6_perturb0.1,Hypercube,1,0.003022503852844238,0.133,0.020173072814941406,13.82
